true_stars,predicted_stars,json_valid,explanation,raw_output
1,2,True,"The review expresses disappointment with the food quality, service, and overall experience.","{
  ""predicted_stars"": 2,
  ""explanation"": ""The review expresses disappointment with the food quality, service, and overall experience.""
}"
2,1,True,The reviewer had a negative experience due to the establishment's hours and lack of service.,"{
  ""predicted_stars"": 1,
  ""explanation"": ""The reviewer had a negative experience due to the establishment's hours and lack of service.""
}"
2,2,True,The review expresses dissatisfaction with the food quality and indicates no intention to return.,"{
  ""predicted_stars"": 2,
  ""explanation"": ""The review expresses dissatisfaction with the food quality and indicates no intention to return.""
}"
4,4,True,"The review highlights a fun atmosphere and good service, despite some cleanliness issues.","{
  ""predicted_stars"": 4,
  ""explanation"": ""The review highlights a fun atmosphere and good service, despite some cleanliness issues.""
}"
3,3,True,Mixed feelings about standard experience and parking issues.,"{
  ""predicted_stars"": 3,
  ""explanation"": ""Mixed feelings about standard experience and parking issues.""
}"
4,4,True,Great food but poor cleanliness detracted from the experience.,"{
  ""predicted_stars"": 4,
  ""explanation"": ""Great food but poor cleanliness detracted from the experience.""
}"
2,2,True,"The review expresses disappointment despite some positive notes, indicating a lack of quality and satisfaction.","{
  ""predicted_stars"": 2,
  ""explanation"": ""The review expresses disappointment despite some positive notes, indicating a lack of quality and satisfaction.""
}"
5,5,True,The review expresses high satisfaction with the food and overall experience.,"{
  ""predicted_stars"": 5,
  ""explanation"": ""The review expresses high satisfaction with the food and overall experience.""
}"
5,5,True,Positive comments on food quality and staff.,"{
  ""predicted_stars"": 5,
  ""explanation"": ""Positive comments on food quality and staff.""
}"
2,2,True,Negative comments about taste and texture indicate dissatisfaction.,"{
  ""predicted_stars"": 2,
  ""explanation"": ""Negative comments about taste and texture indicate dissatisfaction.""
}"
4,5,True,"Positive experience with great atmosphere, tasty food, and excellent service.","{
  ""predicted_stars"": 5,
  ""explanation"": ""Positive experience with great atmosphere, tasty food, and excellent service.""
}"
3,3,True,Mixed experience with a highlight on the veggie sandwich but issues with service speed.,"{
  ""predicted_stars"": 3,
  ""explanation"": ""Mixed experience with a highlight on the veggie sandwich but issues with service speed."" 
}"
2,1,True,The reviewer expresses strong dissatisfaction with the decline in quality and experience.,"{
  ""predicted_stars"": 1,
  ""explanation"": ""The reviewer expresses strong dissatisfaction with the decline in quality and experience.""
}"
5,4,True,"Positive review highlighting good food and service, with minor drawbacks.","{
  ""predicted_stars"": 4,
  ""explanation"": ""Positive review highlighting good food and service, with minor drawbacks.""
}"
4,5,True,"The review is highly positive, praising the atmosphere, bartender, prices, and entertainment.","{
  ""predicted_stars"": 5,
  ""explanation"": ""The review is highly positive, praising the atmosphere, bartender, prices, and entertainment.""
}"
3,2,True,"Positive atmosphere and service, but poor value for food and no intention to return.","{
  ""predicted_stars"": 2,
  ""explanation"": ""Positive atmosphere and service, but poor value for food and no intention to return.""
}"
5,5,True,Positive experience with easy donation process and helpful staff.,"{
  ""predicted_stars"": 5,
  ""explanation"": ""Positive experience with easy donation process and helpful staff.""
}"
2,2,True,Negative experience with billing issues.,"{
  ""predicted_stars"": 2,
  ""explanation"": ""Negative experience with billing issues.""
}"
5,5,True,Positive sentiment and strong praise for food and ambiance.,"{
  ""predicted_stars"": 5,
  ""explanation"": ""Positive sentiment and strong praise for food and ambiance.""
}"
3,4,True,"Overall positive experience with great salsas and some excellent dishes, despite one disappointing taco.","{
  ""predicted_stars"": 4,
  ""explanation"": ""Overall positive experience with great salsas and some excellent dishes, despite one disappointing taco.""
}"
5,5,True,"The review highlights excellent food, service, and a positive overall experience.","{
  ""predicted_stars"": 5,
  ""explanation"": ""The review highlights excellent food, service, and a positive overall experience.""
}"
4,5,True,Positive comments on food and atmosphere.,"{
  ""predicted_stars"": 5,
  ""explanation"": ""Positive comments on food and atmosphere.""
}"
4,4,True,"Positive comments about food, service, and atmosphere.","{
  ""predicted_stars"": 4,
  ""explanation"": ""Positive comments about food, service, and atmosphere.""
}"
4,4,True,"Strong dishes and positive experience, but slow service and some basic items held it back.","{
  ""predicted_stars"": 4,
  ""explanation"": ""Strong dishes and positive experience, but slow service and some basic items held it back.""
}"
4,4,True,"Positive review highlighting good coffee, ambiance, and friendly staff.","{
  ""predicted_stars"": 4,
  ""explanation"": ""Positive review highlighting good coffee, ambiance, and friendly staff.""
}"
4,4,True,"While the steak may not be top-tier, the overall experience and ambiance are highly praised.","{
  ""predicted_stars"": 4,
  ""explanation"": ""While the steak may not be top-tier, the overall experience and ambiance are highly praised.""
}"
5,4,True,Positive experience with minor issues.,"{
  ""predicted_stars"": 4,
  ""explanation"": ""Positive experience with minor issues.""
}"
5,5,True,The reviewer expresses high satisfaction and praises the barber's skills and attention to detail.,"{
  ""predicted_stars"": 5,
  ""explanation"": ""The reviewer expresses high satisfaction and praises the barber's skills and attention to detail.""
}"
4,5,True,Positive experience with good service and value.,"{
  ""predicted_stars"": 5,
  ""explanation"": ""Positive experience with good service and value.""
}"
4,4,True,Positive sentiment about the food quality and nostalgia.,"{
  ""predicted_stars"": 4,
  ""explanation"": ""Positive sentiment about the food quality and nostalgia.""
}"
3,4,True,Positive experience with good selection and pricing.,"{
  ""predicted_stars"": 4,
  ""explanation"": ""Positive experience with good selection and pricing.""
}"
4,4,True,Positive experience but lack of specific details.,"{
  ""predicted_stars"": 4,
  ""explanation"": ""Positive experience but lack of specific details.""
}"
3,2,True,Average food and slow service lead to a low rating.,"{
  ""predicted_stars"": 2,
  ""explanation"": ""Average food and slow service lead to a low rating.""
}"
3,2,True,Negative connotation suggests disappointment.,"{
  ""predicted_stars"": 2,
  ""explanation"": ""Negative connotation suggests disappointment.""
}"
5,5,True,"The review is overwhelmingly positive, highlighting great food, service, and ambiance.","{
  ""predicted_stars"": 5,
  ""explanation"": ""The review is overwhelmingly positive, highlighting great food, service, and ambiance.""
}"
4,4,True,"Positive review highlighting charm, good coffee, and nice staff.","{
  ""predicted_stars"": 4,
  ""explanation"": ""Positive review highlighting charm, good coffee, and nice staff.""
}"
5,5,True,Highly positive feedback on food quality and value.,"{
  ""predicted_stars"": 5,
  ""explanation"": ""Highly positive feedback on food quality and value.""
}"
4,4,True,Positive review with minor criticism about the pool.,"{
  ""predicted_stars"": 4,
  ""explanation"": ""Positive review with minor criticism about the pool.""
}"
4,5,True,"Positive comments about cleanliness, stock, and short wait times indicate high satisfaction.","{
  ""predicted_stars"": 5,
  ""explanation"": ""Positive comments about cleanliness, stock, and short wait times indicate high satisfaction.""
}"
4,4,True,Mixed experience but overall positive with great food and service.,"{
  ""predicted_stars"": 4,
  ""explanation"": ""Mixed experience but overall positive with great food and service.""
}"
2,2,True,The reviewer finds the ice cream tasty but criticizes the high price.,"{
  ""predicted_stars"": 2,
  ""explanation"": ""The reviewer finds the ice cream tasty but criticizes the high price.""
}"
4,4,True,"Positive atmosphere and food, but music was too loud.","{
  ""predicted_stars"": 4,
  ""explanation"": ""Positive atmosphere and food, but music was too loud.""
}"
5,5,True,"The review is overwhelmingly positive, praising the venue's beauty, atmosphere, and commitment to live music.","{
  ""predicted_stars"": 5,
  ""explanation"": ""The review is overwhelmingly positive, praising the venue's beauty, atmosphere, and commitment to live music.""
}"
4,5,True,"The review is highly positive, praising the food, coffee, live music, and smoothies.","{
  ""predicted_stars"": 5,
  ""explanation"": ""The review is highly positive, praising the food, coffee, live music, and smoothies.""
}"
4,3,True,Mixed experience; enjoyed some dishes but overall disappointment with others.,"{
  ""predicted_stars"": 3,
  ""explanation"": ""Mixed experience; enjoyed some dishes but overall disappointment with others.""
}"
2,2,True,Loyalty diminished due to consistent poor service over the last 6 months.,"{
  ""predicted_stars"": 2,
  ""explanation"": ""Loyalty diminished due to consistent poor service over the last 6 months.""
}"
3,3,True,Positive staff experience but significant disappointment over product availability.,"{
  ""predicted_stars"": 3,
  ""explanation"": ""Positive staff experience but significant disappointment over product availability.""
}"
1,1,True,"The review expresses strong dissatisfaction with service, food, and wine quality.","{
  ""predicted_stars"": 1,
  ""explanation"": ""The review expresses strong dissatisfaction with service, food, and wine quality.""
}"
2,2,True,Customer dissatisfaction with hidden charges and poor service led to a low rating.,"{
  ""predicted_stars"": 2,
  ""explanation"": ""Customer dissatisfaction with hidden charges and poor service led to a low rating.""
}"
5,5,True,"Positive comments on food, service, and atmosphere.","{
  ""predicted_stars"": 5,
  ""explanation"": ""Positive comments on food, service, and atmosphere.""
}"
5,5,True,The reviewer had a positive experience with great food and service.,"{
  ""predicted_stars"": 5,
  ""explanation"": ""The reviewer had a positive experience with great food and service.""
}"
4,4,True,"Positive review highlighting good food and specific dishes, but minor complaints about butter and desserts.","{
  ""predicted_stars"": 4,
  ""explanation"": ""Positive review highlighting good food and specific dishes, but minor complaints about butter and desserts.""
}"
4,5,True,"Positive comments on food, coffee, and decor indicate a high satisfaction.","{
  ""predicted_stars"": 5,
  ""explanation"": ""Positive comments on food, coffee, and decor indicate a high satisfaction.""
}"
4,5,True,Positive review highlighting unique products and good service.,"{
  ""predicted_stars"": 5,
  ""explanation"": ""Positive review highlighting unique products and good service.""
}"
3,4,True,"Positive comments on food quality and portions, but some issues with hummus portion and service consistency.","{
  ""predicted_stars"": 4,
  ""explanation"": ""Positive comments on food quality and portions, but some issues with hummus portion and service consistency.""
}"
5,5,True,Highly positive review with specific praises and recommendations.,"{
  ""predicted_stars"": 5,
  ""explanation"": ""Highly positive review with specific praises and recommendations.""
}"
4,5,True,Positive review highlighting great pizza and friendly service.,"{
  ""predicted_stars"": 5,
  ""explanation"": ""Positive review highlighting great pizza and friendly service.""
}"
3,3,True,Mixed feelings with some positives but overall underwhelming experience.,"{
  ""predicted_stars"": 3,
  ""explanation"": ""Mixed feelings with some positives but overall underwhelming experience.""
}"
1,2,True,Mixed feelings with more negatives than positives.,"{
  ""predicted_stars"": 2,
  ""explanation"": ""Mixed feelings with more negatives than positives.""
}"
5,5,True,The review expresses strong affection and satisfaction with the brand and its products.,"{
  ""predicted_stars"": 5,
  ""explanation"": ""The review expresses strong affection and satisfaction with the brand and its products.""
}"
3,4,True,"Positive review highlighting food quality and value, but suggests improvement with added veggies.","{
  ""predicted_stars"": 4,
  ""explanation"": ""Positive review highlighting food quality and value, but suggests improvement with added veggies.""
}"
1,1,True,"The review highlights multiple negative experiences, indicating strong dissatisfaction.","{
  ""predicted_stars"": 1,
  ""explanation"": ""The review highlights multiple negative experiences, indicating strong dissatisfaction.""
}"
5,5,True,Highly positive feedback on food quality and service.,"{
  ""predicted_stars"": 5,
  ""explanation"": ""Highly positive feedback on food quality and service.""
}"
4,4,True,Overall positive experience with minor disappointment in spice level.,"{
  ""predicted_stars"": 4,
  ""explanation"": ""Overall positive experience with minor disappointment in spice level.""
}"
4,4,True,"Positive review highlighting cleanliness, service speed, and personal recommendations.","{
  ""predicted_stars"": 4,
  ""explanation"": ""Positive review highlighting cleanliness, service speed, and personal recommendations.""
}"
4,5,True,Positive comments on the venue and pricing indicate a high satisfaction level.,"{
  ""predicted_stars"": 5,
  ""explanation"": ""Positive comments on the venue and pricing indicate a high satisfaction level.""
}"
4,4,True,"Positive review highlighting food quality and atmosphere, with minor service issues.","{
  ""predicted_stars"": 4,
  ""explanation"": ""Positive review highlighting food quality and atmosphere, with minor service issues.""
}"
4,3,True,"Mixed feelings; positive about cleanliness and shopping, but negative about long walks and outdated security.","{
  ""predicted_stars"": 3,
  ""explanation"": ""Mixed feelings; positive about cleanliness and shopping, but negative about long walks and outdated security."" 
}"
4,5,True,"The review is overwhelmingly positive, highlighting the quality of cupcakes and the enjoyable experience.","{
  ""predicted_stars"": 5,
  ""explanation"": ""The review is overwhelmingly positive, highlighting the quality of cupcakes and the enjoyable experience.""
}"
5,5,True,The review expresses strong appreciation for the theater and its unique offerings.,"{
  ""predicted_stars"": 5,
  ""explanation"": ""The review expresses strong appreciation for the theater and its unique offerings.""
}"
4,5,True,"The review is overwhelmingly positive, highlighting excellent food quality and a pleasant atmosphere.","{
  ""predicted_stars"": 5,
  ""explanation"": ""The review is overwhelmingly positive, highlighting excellent food quality and a pleasant atmosphere.""
}"
3,3,True,Mixed experience with good service but poor food quality.,"{
  ""predicted_stars"": 3,
  ""explanation"": ""Mixed experience with good service but poor food quality."" 
}"
4,4,True,"Positive experience with food and atmosphere, but music was lacking.","{
  ""predicted_stars"": 4,
  ""explanation"": ""Positive experience with food and atmosphere, but music was lacking.""
}"
3,4,True,Positive experience with minor suggestions for improvement.,"{
  ""predicted_stars"": 4,
  ""explanation"": ""Positive experience with minor suggestions for improvement.""
}"
4,4,True,"Positive experiences with food, value, and atmosphere, but limited sampling of dishes.","{
  ""predicted_stars"": 4,
  ""explanation"": ""Positive experiences with food, value, and atmosphere, but limited sampling of dishes.""
}"
5,5,True,"Positive experience with grooming and playtime, addressing anxiety issues.","{
  ""predicted_stars"": 5,
  ""explanation"": ""Positive experience with grooming and playtime, addressing anxiety issues.""
}"
5,5,True,"Exceptional food and service, with no major complaints.","{
  ""predicted_stars"": 5,
  ""explanation"": ""Exceptional food and service, with no major complaints.""
}"
4,3,True,Mixed experience with good food but poor service.,"{
  ""predicted_stars"": 3,
  ""explanation"": ""Mixed experience with good food but poor service.""
}"
3,4,True,Positive review highlighting enjoyable golf experience and good food.,"{
  ""predicted_stars"": 4,
  ""explanation"": ""Positive review highlighting enjoyable golf experience and good food.""
}"
4,4,True,"Food was excellent, but atmosphere and bread accompaniment were lacking.","{
  ""predicted_stars"": 4,
  ""explanation"": ""Food was excellent, but atmosphere and bread accompaniment were lacking.""
}"
4,4,True,"Positive experience with great service and ambiance, but some kinks remain.","{
  ""predicted_stars"": 4,
  ""explanation"": ""Positive experience with great service and ambiance, but some kinks remain.""
}"
1,2,True,"The reviewer finds the place overpriced and only suitable for families with kids, indicating dissatisfaction.","{
  ""predicted_stars"": 2,
  ""explanation"": ""The reviewer finds the place overpriced and only suitable for families with kids, indicating dissatisfaction.""
}"
5,5,True,"The review is highly positive, praising the food, consistency, specials, and overall experience.","{
  ""predicted_stars"": 5,
  ""explanation"": ""The review is highly positive, praising the food, consistency, specials, and overall experience.""
}"
4,4,True,"Overall positive experience with good service and atmosphere, but food didn't meet expectations.","{
  ""predicted_stars"": 4,
  ""explanation"": ""Overall positive experience with good service and atmosphere, but food didn't meet expectations.""
}"
4,4,True,"Positive comments about food, but wine was just okay.","{
  ""predicted_stars"": 4,
  ""explanation"": ""Positive comments about food, but wine was just okay.""
}"
3,3,True,"Mixed feelings; food is okay but not exceptional, and there are better options.","{
  ""predicted_stars"": 3,
  ""explanation"": ""Mixed feelings; food is okay but not exceptional, and there are better options."" 
}"
5,5,True,"Highly positive feedback on food, drinks, and service.","{
  ""predicted_stars"": 5,
  ""explanation"": ""Highly positive feedback on food, drinks, and service.""
}"
5,5,True,"Positive comments on service, food quality, and portion size.","{
  ""predicted_stars"": 5,
  ""explanation"": ""Positive comments on service, food quality, and portion size.""
}"
4,4,True,"The review is generally positive, highlighting the ambiance and experience despite some critiques about pricing and changes in clientele.","{
  ""predicted_stars"": 4,
  ""explanation"": ""The review is generally positive, highlighting the ambiance and experience despite some critiques about pricing and changes in clientele.""
}"
4,4,True,Positive review with minor complaints.,"{
  ""predicted_stars"": 4,
  ""explanation"": ""Positive review with minor complaints.""
}"
3,3,True,"The review is positive but ends with a 3-star rating, indicating mixed feelings.","{
  ""predicted_stars"": 3,
  ""explanation"": ""The review is positive but ends with a 3-star rating, indicating mixed feelings.""
}"
4,5,True,"The reviewer praises the pizza highly, comparing it favorably to New York pizza.","{
  ""predicted_stars"": 5,
  ""explanation"": ""The reviewer praises the pizza highly, comparing it favorably to New York pizza.""
}"
5,5,True,"The reviewer had a positive experience, appreciating the unique cacti and the overall atmosphere of the garden.","{
  ""predicted_stars"": 5,
  ""explanation"": ""The reviewer had a positive experience, appreciating the unique cacti and the overall atmosphere of the garden.""
}"
5,5,True,"Positive experience with food, atmosphere, and beer selection.","{
  ""predicted_stars"": 5,
  ""explanation"": ""Positive experience with food, atmosphere, and beer selection.""
}"
4,4,True,"The chicken curry was really good, balancing out the average spring rolls and lemongrass chicken.","{
  ""predicted_stars"": 4,
  ""explanation"": ""The chicken curry was really good, balancing out the average spring rolls and lemongrass chicken.""
}"
2,2,True,Decent food but poor service and overpriced compared to alternatives.,"{
  ""predicted_stars"": 2,
  ""explanation"": ""Decent food but poor service and overpriced compared to alternatives.""
}"
5,5,True,"The review expresses high satisfaction and enjoyment of the performance, recommending it to others.","{
  ""predicted_stars"": 5,
  ""explanation"": ""The review expresses high satisfaction and enjoyment of the performance, recommending it to others.""
}"
4,4,True,Positive review highlighting good food and atmosphere.,"{
  ""predicted_stars"": 4,
  ""explanation"": ""Positive review highlighting good food and atmosphere.""
}"
1,1,True,The reviewer had a very negative experience with the food and ambiance.,"{
  ""predicted_stars"": 1,
  ""explanation"": ""The reviewer had a very negative experience with the food and ambiance.""
}"
2,2,True,"The reviewer found the food decent but overpriced and lacking uniqueness, with a negative impression of pretentiousness.","{
  ""predicted_stars"": 2,
  ""explanation"": ""The reviewer found the food decent but overpriced and lacking uniqueness, with a negative impression of pretentiousness.""
}"
3,3,True,Mixed feelings; enjoys happy hour and atmosphere but has concerns about music volume.,"{
  ""predicted_stars"": 3,
  ""explanation"": ""Mixed feelings; enjoys happy hour and atmosphere but has concerns about music volume.""
}"
4,5,True,Positive review highlighting great food and drink options.,"{
  ""predicted_stars"": 5,
  ""explanation"": ""Positive review highlighting great food and drink options.""
}"
